此段落的最初2-5句話,此段落的最末2-5句話,段落大意
那漢人笑聲不停，瞧出便宜，挺劍便向段譽背心疾刺而下。那西夏人暗想：「不妙！他這一劍刺入數寸，正好取了敵人性命。但如他不顧義氣，要獨居其功，說不定刺入尺許，便連我也刺死了。」當即拖著段譽，退了一步。,段譽又驚又喜，放下那西夏人的屍身，叫道：「王姑娘，王姑娘，敵人都打死了！」,其中一個敵人想要一刀刺死段譽，但被西夏人躲開了。
忽聽得身後一個冷冰冰的聲音說道：「未必都死了！」段譽一驚回頭，見是那個神色木然的西夏武士，心想：「我倒將你忘了。我一抓你‘志室穴’，便能殺你。」,王語嫣心想：「這十多具屍首一一埋葬，不知要花費多少時候。」叫道：「段公子，只怕再有大批敵人到來，咱們及早遠離為是。」段譽道：「是！」轉身便要上梯。,這時發現還一個敵人還沒死，段譽不想再殺他，說自己不會武功，請他手下留情快離開。敵人說段譽沒學過武功，但卻殺死了那麼多人，若是學會了武功就更不得了了。
那西夏武士道：「你還沒殺我，怎地便走？」段譽搖頭道：「我不能殺你。再說，我也不是你對手。」那人道：「咱們沒打過，你怎知不是我對手？王姑娘將‘淩波微步’傳了給你，嘿嘿，果然與眾不同。」,段譽睜開眼來，但見王語嫣的臉蛋便在他眼前，相距不過數寸，玉頰如火，嬌羞不勝，早是癡了，怔怔地凝視著她，西夏武士那幾句話全沒聽見。王語嫣道：「你扶我起來，坐在這裡。」段譽忙道：「是，是！」誠惶誠恐地扶著她身子，讓她坐上一張板凳。,段譽不想跟對方起衝突，但對方用大刀敲了他肩膀一下，並命令他去請教王語嫣殺對方的方法。
王語嫣雙手顫抖，勉力拉著身上衣衫，低頭凝思，過了半晌，說道：「他不露自己的武功家數，我……我不知道怎樣才能打敗他。」,段譽向王語嫣瞧了一眼，心下難過，說道：「你既一定要殺我，那也無法可想，不過我也有一件事相求。」那人道：「什麼事？」段譽道：「這位姑娘身中奇毒，肢體乏力，不能行走，請你行個方便，將她送回太湖曼陀山莊她的家裡。」,王語嫣認為對方的蜈蚣太強，段譽打不過對方，還是認輸比較好。
那人哈哈一笑，道：「我為什麼要行這個方便？西夏征東大將軍頒下將令，是誰擒到這位博學多才的姑娘，賞賜黃金千兩，官封萬戶侯。」,段譽道：「閣下志向倒也不小。李將軍，我跟你說，你精通各派絕藝，要練成武功天下第一，並非難事，但要混一天下，並非武功天下第一便能辦到。」,對方不肯，因為王語嫣的懸賞金額很高。
王語嫣道：「就說要武功天下第一，你也未必能夠。」李延宗道：「何以見得？」王語嫣道：「當今之世，單以我所見，便有二人的武功遠遠在你之上。」,李延宗道：「很好，我信得過姑娘之言。與其留下個他日的禍胎，不如今日一刀殺了。段公子，你下來吧，我要殺你了。」段譽忙道：「我當然不下來。你……你也不可上來，以免兩誤。」,王語嫣說有兩個人的武功比李延宗好，一個是丐幫的喬峰、一個是表哥慕容複，並且試圖用激將法，讓李延宗留段譽一命。殊不知李延宗不受激，反而想馬上殺死段譽。
王語嫣沒想到弄巧成拙，此人竟不受激，只得冷笑道：「原來你是害怕，怕他三年之後勝過了你。」李延宗道：「你使激將之計，要我饒他性命，嘿嘿，我李延宗是何等樣人，豈能輕易上當？要我饒他性命不難，我早有話在先，只須每次見到我磕頭求饒，我決不殺他。」,回頭向她微微一笑，一步步從梯級走了下去，忽然心中轉過一個念頭：「倘若婉妹見到我如此走向死地，她一定會緊緊拉住我不放，說不定還要和我同死，決不會像王姑娘這般泰然自若、漠不在意。」,李延宗仍舊要段譽跪下求饒才肯放過他。王語嫣決定放手一搏，指揮段譽使用「六陽融雪功」攻擊對方的技巧。
段譽走到樓下，向李延宗瞪了一眼，說道：「李將軍，你既非殺我不可，就動手吧！」說著一步踏出，跨的正是「淩波微步」。,段譽伸指欲點，李延宗右手微微加勁，刀刃陷入他頸中肉裡數分，喝道：「你動一動，我立刻切下你腦袋。」這時段譽已看清楚閣樓上並無敵人，心中登時寬了，笑道：「原來你騙人，王姑娘並沒危險。」,段譽和李延宗開始互相過招，但因地上雜物太多，無法順利發揮凌波微步的優勢。王語嫣擔心段譽安危，要他逃命，但段譽堅持保護要留下王語嫣。
王語嫣聽他在極大危難之中，還因自己無險而歡喜，叫道：「李將軍，你若殺了他，除非也將我即刻殺死，否則總有一日我會殺了你給段公子報仇。」,李延宗嘿嘿冷笑，從懷中摸出一個瓷瓶，拋在段譽身上，刷的一聲響，還刀入鞘，身形一晃，已到了門外。但聽得一聲馬嘶，接著蹄聲得得，竟爾騎著馬越奔越遠，就此去了。,王語嫣對李延宗嗆聲說，若他殺了段譽，慕容公子必然會找他報仇，並說他的武功看似厲害，但也不過如此。李延宗丟下一個小瓶子後，騎馬逃走了。
段譽站起身來，摸了摸頸中的刀痕，兀自隱隱生痛，當真如在夢中。王語嫣也大出意料之外。兩人一在樓上，一在樓下，你望望我，我望望你，又歡喜，又詫異。,她欣喜之下，從段譽手中接過瓷瓶，用力吸氣，既知這臭氣極具靈效，那就不再害怕，再吸得幾下，肢體間軟洋洋的無力之感漸漸消失，向段譽道：「請你下去，我要換衣。」,段譽和王語嫣兩人平安無事。
段譽忙道：「是，是！」快步下樓，瞧著滿地都是屍體，除了那一對農家青年之外，盡數是死在自己手下，心下抱憾無窮，自怨自艾，只見一名西夏武士兀自睜大了眼睛瞧著他，當真死不瞑目。,王語嫣心想：「這件事甚是危險，憑我們二人的本事，怎能從西夏武士手中救人？但阿朱、阿碧二人是表哥的心腹使婢，我明知她們失陷於敵，如何可以不救？一切只有見機行事了。」便道：「甚好，咱們去吧！」,段譽想要盡快拯救阿朱和阿碧，王語嫣一起陪同。
段譽指著滿地屍首，說道：「總得將他們妥為安葬才是，須當查知各人的姓名，在每人墳上立塊墓碑，日後他們家人要來找尋屍骨，遷回故土，也好有個憑依。」,段譽恭恭敬敬地跪拜叩首，說道：「色身無常，不可長保。各位仁兄今日命喪我手，當是前生業報，只盼魂歸極樂，永脫輪回之苦。莫怪，莫怪！」囉裡囉唆地說了一大片話，這才站起。,段譽想要幫屍體們埋葬，這樣家屬才能祭拜，但王語嫣覺得把碾坊和屍體都用火燒掉最省事。
碾坊外樹上系著十來匹馬，都是那批西夏武士騎來的，段譽與王語嫣各騎一匹，沿著大路而行。隱隱聽得鑼聲鏜鏜，人聲喧嘩，四鄰農民趕著救火來了。,王語嫣點頭道：「嗯！那也說得是。日後做慣了，也就不在乎啦。」段譽一驚，連連搖手，說道：「萬萬不可！殺人放火，一之為甚，其可再乎？」,段譽和王語嫣各騎一匹西夏武士留下的馬離開。村民都來救火了。
王語嫣和他並騎而行，轉過頭來瞧著他，很感詫異，道：「江湖之上，殺人放火之事哪一日沒有？段公子，你以後洗手不幹，不再混跡江湖了麼？」,但慕容複一心一意要規複燕國舊邦的大志，畢竟不能洩漏，說道：「這話我隨口說了，你可千萬別對第二人說，更不能在我表哥面前提起，否則他可要怪死我啦。」,王語嫣不小心說溜嘴表哥慕容公子想要復興燕國當皇帝的事情，請段譽保守秘密。
段譽一陣難過，心想：「瞧你急成這副樣子，你表哥要怪責，讓他怪責去好了。」,段譽心下高興，一時不知說些什麼話好，過了一會，說道：「我不想做皇帝，不想做大官。我什麼也不想，只盼永如眼前一般，那就心滿意足，別無他求了。」所謂「永如眼前一般」，就是和她並騎而行。,段譽因王語嫣對他輕柔細語的說話，因此內心很高興。
王語嫣不願他再說下去，俏臉微微一沉，正色道：「段公子，今日相救的大德，我永不敢忘。但我心……我心早屬他人，盼你言語有禮，以留他日相見的地步。否則……」否則什麼，她也難以啟齒。,王語嫣心想：「他一句話也不說，只管縱馬而行，想必知道到什麼地方去相救阿朱、阿碧。」段譽也這般想：「她一句話也不說，只管縱馬而行，想必知道到什麼地方去相救阿朱、阿碧。」,王語嫣向段譽表明自己心有所屬，段譽內心覺得很難過。
行了約莫一頓飯時分，來到了岔路口，兩人不約而同地問道：「向左，還是向右？」交換了一個疑問的眼色之後，同時又道：「你不識得路？唉，我以為你是知道的。」這兩句話一出口，兩人均覺十分有趣，齊聲大笑。,王語嫣道：「回杏子林去？倘若那些西夏武士仍在那邊，咱們豈非自投羅網？」段譽道：「适才落了這麼一場大雨，他們定然走了。這樣吧，你在林外等我，我悄悄去張上一張，倘若敵人果真還在，咱們轉身便逃就是。」,兩個人發現對方都不知道路況，不禁大笑。
當下兩人說定，由段譽施展「淩波微步」，奔到朱碧雙姝面前，將那瓶臭藥給她二人聞上一陣，解毒之後，再設法相救。,林中滿地泥濘，泥上有不少杏花的花瓣，草叢上都是水珠。段譽放眼四顧，空蕩蕩的竟不見有人，叫道：「王姑娘，這裡沒人。」王語嫣走進林來，說道：「他們果然走了，咱們到無錫城裡去探探消息吧。」段譽道：「很好。」想起又可和她並騎同行，多走一段路，心下大是歡喜，臉上不自禁地露出笑容。,兩人決定好拯救阿朱和阿碧的策略後，再悄悄進去杏子林。
