此段落的最初2-5句話,此段落的最末2-5句話,段落大意
南朝君臣動靜，早有細作報到上京。遼主耶律洪基得悉南朝太皇太后崩駕，少年皇帝趙煦斥逐持重大臣，顯是要再行新政，不禁大喜,蕭峰道：「臣已禁絕了。」耶律洪基道：「今日咱兄弟聚會，破一破例，又有何妨？」蕭峰道：「是！」,遼主耶律洪基透過細作得知南朝太皇太后辭世，皇帝趙煦要再行新政，大喜；擺架赴南京要找南院大王蕭峰商議。遼主抵達南京城外，蕭峰正帶兵在北郊射獵。蕭峰為了避免與南朝傷了和氣，禁止下屬到與南朝交界的南郊出獵、打草穀。耶律洪基要求蕭峰為他破例一次。
號角聲響，耶律洪基與蕭峰雙騎並馳，繞過南京城牆，直向南去。,蕭峰當時若要出手阻止，自能打落遼帝的羽箭，但在眾軍眼前公然削了皇帝的面子，可說大逆不道，但臉上一股不以為然的神色，已不由自主地流露了出來。,耶律洪基與蕭峰一同策馬南去，遼兵趕不到野獸，便將十幾名南朝樵夫獵戶逼到皇帝馬前，耶律洪基射倒了六名漢人，叫蕭峰也射；蕭峰為他們求情，耶律洪基不肯，將剩餘的漢人也都射死。蕭峰不便在眾軍前打落遼帝的羽箭，削他面子，但臉上不由自主流露出不以為然的神色。
耶律洪基笑道：「怎樣？」正要收弓，忽見一騎馬突過獵圍，疾馳而至。,可是她笑聲之中，卻又充滿了愉悅之意。蕭峰心道：「想必小阿紫在途中受了什麼委屈。」,正當耶律洪基準備收弓之際，一個穿著漢人裝束的人，騎馬奔馳而來，耶律洪基連發七箭，對方也徒手連接七箭。原來來人是阿紫，蕭峰為她的雙眼復明感到驚喜，卻覺得她的眼神中有股難以形容的酸苦傷心
阿紫突然一聲尖叫，向前躍出。蕭峰同時也感到有人在自己身後突施暗算，立即轉身，只見一柄三股獵叉當胸飛來。,耶律洪基握住蕭峰的右手，說道：「兄弟，咱二人多日不見，過去說一會兒話。」,一旁被射倒在地的漢人獵戶，拼全力向蕭峰擲來一柄三股獵叉，阿紫奪過獵叉，插入獵戶胸膛。耶律洪基見阿紫殺死獵戶，說她避免了蕭峰受傷，也避免了她的正事被耽誤，便要賞她，封她為平南公主，提高她的輩份，好將她跟蕭峰湊成一對。但蕭峰卻因「平南」二字，懷疑耶律洪基要對南朝用兵了。
二人並騎南馳，駿足坦途，片刻間已馳出十餘裡外。平野上田疇荒蕪，麥田中都長滿了荊棘雜草。,蕭峰微笑道：「請他們來玩玩倒是不妨，這兩位兄弟，做官是做不來的。」,耶律洪基拉著蕭峰再往南奔馳，兩人縱馬上了一座小丘，他便用鞭鞘指著南方大地，問蕭峰南坊是不是比苦寒的北國住得舒適？蕭峰答道只要過得舒齊安適，心中便快活了，不必強要對換，自尋煩惱。耶律洪基見君臣之禮，覺得生分了，感嘆自己身為皇帝，反而不能結交推心置腹、義氣深重的朋友；蕭峰便向他提起中原的結義兄弟虛竹與段譽，耶律洪基便要蕭峰邀他們到遼國來，封他們官做。
耶律洪基沉默片刻，說道：「兄弟，我觀你神情言語，常有鬱鬱不足之意。我富有天下，君臨四海，何事不能為你辦到？卻何以不對做哥哥的說？」,蕭峰微微一笑，心想：「皇上只道有強兵在手，要什麼便有什麼。」,耶律洪基問蕭峰為何長有鬱鬱不足的神情語言？一問之下，是因為蕭峰當年錯手殺了阿朱。耶律洪基將這個大錯歸咎於漢人南蠻，要為他討伐南蠻、復仇泄恨，並讓他任意挑選南蠻女子服侍。蕭峰苦笑，心中鍾情阿朱，謝過耶律洪基的好意，也表示願與中原武人，將仇恨一筆勾消。耶律洪基露出南占大宋、西取西夏的野心。
耶律洪基說道：「做哥哥的此番南來，第二件事為的是替兄弟增爵升官。賢弟聽封。」,羽箭蔽空，宋兵遼兵互相斫殺，紛紛墮于馬下，鮮血與河水一般奔流，骸骨遍野……,其後，耶律洪基表明這次南來的第二件事，是要封他為「宋王」，以平南大元帥統帥三軍。要蕭峰為他先行，直驅汴梁。蕭峰力勸耶律洪基不要理會趙煦的挑釁，而耶律洪基卻當這是千載難逢好機會。蕭峰彷彿看見在宋遼廝殺下，戰火凌遲百姓，屍橫遍野。
耶律洪基大聲道：「我契丹列祖列宗要將南朝收列版圖，好幾次都功敗垂成。,蕭峰道：「臣平生殺人多了，實不願雙手再沾血腥，求陛下許臣辭官，隱居山林。」,蕭峰跪地磕頭，懇求耶律洪基收回成命，耶律洪基質問蕭峰：南朝與遼國對他而言誰輕誰重？蕭峰表態忠於遼國，如大遼有危難，必將赴湯蹈火、萬死不辭，卻堅絕不肯為僚主先發制人、攻打南朝，耶律洪基讓他為難，便請求辭官隱居。
耶律洪基聽他說要辭官，更加憤怒，心中立動殺意，手按刀柄，便要拔刀向他頸中斬落,耶律洪基從上京攜來大批寶刀利劍、駿馬美女、金銀珠寶，賞賜予他。蕭峰謝恩，領回王府。,耶律洪基因此憤怒，對蕭峰動了殺念，終究因平亂大功、結義之情忍了下來，要他再想想，希望他回心轉意。
蕭峰甚少親理政務，文物書籍，向來不喜，因此王府中也沒什麼書房，平時便在大廳中和諸將坐地,蕭峰道：「這不是孩子氣麼？世上沒什麼大不了的事，用不著這麼傷心！你的眼色為什麼這樣悲傷？姊夫是個粗魯漢子，你老是陪伴著我，叫你心裡不痛快！」,蕭峰回到南院大王王府，阿紫開心摟住他的脖子，高興自己封了公主，而他升了官。蕭峰卻為此苦惱。阿紫不解當初他在聚賢莊上殺了無數的武林豪傑，如今為何不肯率兵攻打南蠻，他解釋當年是為了她與阿朱。阿紫幽怨蕭峰重視阿朱，卻不把她放在心上；蕭峰則對阿紫說會像叔叔哥哥般待她，他不再對其她女子動情，關懷她，指是因為她是阿朱的妹妹。
阿紫道：「我眼光中老是現出悲傷難過的神氣，是不是？唉，都是那醜八怪累了我。」,蕭峰怒道：「人家面貌雖醜，心地可比你美上百倍！我不要你陪，不要再見你！」阿紫頓足哭道：「我……我……」,蕭峰問起阿紫為何眼中總有悲傷難過的神情，阿紫說是把眼睛給他的那個醜八怪害的。她口中的醜八怪，就是丐幫幫主莊聚賢、也就是被她套了鐵面具的游坦之，他因為愛慕阿紫，心甘情願將眼睛挖出，讓虛竹為阿紫把眼睛換上。蕭峰聽了，覺得游坦之對阿紫一片癡心，勸她回靈鷲宮陪他。阿紫百般不願意，頓足而哭。
只聽得門外腳步聲響，兩名衛士齊聲說道：「聖旨到！」跟著廳門打開。,「且等阿紫回來，和她同上縹緲峰去，一來送她君相聚，二來我在二弟處盤桓些時，再作計較。」,遼帝使者此時來傳聖旨，宣平南公主見駕。蕭峰料想皇帝是要阿紫勸他聽命伐宋。一番思索後，覺得忠孝不能兩全，仁義無法兼顧，便決定掛印封庫，不告而別，尋思著等阿紫回來，便帶她回縹緲峰去。
阿紫隨著使者來到禦營，見到耶律洪基，衝口便道：「皇上，這平南公主還給你，我不做啦！」,阿紫不願詳說其中根由，只道：「我姊夫不喜歡我，逼我去嫁給旁人。」,耶律洪基宣召阿紫的用意，不出蕭峰所料，阿紫正因姊夫要她去陪游坦之，任性大哭，向皇上嚷著不作平南公主了。皇帝寵妃穆貴妃出面安撫。
便在這時，帳外有人輕叫：「皇上！」耶律洪基走到帳外，見是派給蕭峰去當衛士的親信。,當即揭開後帳，輕輕爬了出去，一溜煙地奔向南院大王王府。,耶律洪基派給蕭峰當衛士的親信，到他帳外報信，稟明蕭峰打算不告而別。耶律洪基勃然大怒，派兵圍住南院王府，並下令緊閉城門，避免蕭峰逃脫。穆貴妃也施計策，要利用阿紫留下蕭峰。
但見王府外兵卒眾多，似是南院大王在調動兵馬。阿紫走進大廳，見蕭峰背負雙手，正在滴水簷前走來走去，似是老大不耐煩。,阿紫見他喝了聖水，心中大喜，道：「不用拿衣服了，咱們走吧！」,蕭峰著急等待阿紫回府，隨即要帶她離開。阿紫將穆貴妃給她的「聖水」摻入酒中給蕭峰喝了，衷心相信穆貴妃所說：喝了這聖水，便永不變心。
蕭峰將一個包裡負在背上，包中裝著幾件衣服、幾塊金銀，低聲道：「他們定是防我南奔，我偏偏便向北行。」,肚中猶似數千把小刀亂剜亂刺般劇痛，忍不住「哼」了一聲。阿紫大驚，叫道：「姊夫，你怎麼了？」,蕭峰背起包袱、帶著阿紫，躲過重重遼兵，終於來到城頭，這時卻劇毒發作，腹中劇痛。
蕭峰全身痙攣，牙關相擊，說道：「我……我……中了……中了劇……劇毒……等一等……我運氣……運氣逼毒……」,提高嗓子道：「如此畏畏縮縮，算得什麼契丹男兒？同我一起去見皇上。」,身中劇毒的蕭峰，無法將毒物逼出，要阿紫快逃。阿紫恍然大悟是穆貴妃騙了她，自責之下，想要自刎。蕭峰告訴她，自己只是身受重傷不會死，讓她也不可尋死，也不要為他殺人，隨後提高嗓子大喊要見皇帝。
眾武士一怔，一齊躬身，恭恭敬敬地道：「是！咱們奉旨差遣，對大王無禮，請大王恕罪！」,大家也不放在心上，本來誰都不想難為她，在橋頭稍立片刻，見河中全無動靜，又都隨著蕭峰前行。,重武士對他生出敬畏之心，不敢無禮，一行人回歸王府途中，阿紫突然跳入河中，蕭峰知她深黯水性，心中由驚訝轉為歡喜。而眾人以為阿紫尋短，但皇帝只下令捉拿蕭峰一人，便不放在心上，繼續前行。
