此段落的最初2-5句話,此段落的最末2-5句話,段落大意
段正淳走到鐘夫人身邊，笑道：「寶寶，我也香香你的臉，許不許？」,三人默然相對，都憶起了舊事，眉間心上，時喜時愁。,甘寶寶情傷後已嫁做人婦，誓言一心一意對待其夫，因此不受段正淳輕薄。三人陷入回憶。
過了良久，段正淳輕輕地道：「你們擄了我孩兒去，卻為了什麼？,窗外兩人一一聽入耳中，只惱得刀白鳳沒的氣炸了胸膛。鐘萬仇聽妻子以禮自防，卻大喜過望。,刀白鳳、鐘萬仇不打不相識，兩人相繼而至王府，在窗外聽了一陣子。
鐘萬仇奔到妻子身旁，又疼惜，又高興，繞著她轉來轉去，,鐘夫人白了他一眼，嗔道：「又來胡說八道了，也不怕人家笑話。」鐘萬仇道：「什麼好笑話的？我可不能吃這個大虧。」,鐘萬仇要給夫人解穴，但解不掉，又不想讓段正淳碰甘寶寶，眾人鬧得不可開交。
正鬧得不可開交，門帷掀起，緩步走進一人，黃緞長袍，三綹長須，眉清目秀，正是大理國皇帝段正明。,狠狠地向刀白鳳瞪了一眼，低頭而出。三人一出房，便即縱躍上屋。,段正明隔空為甘寶寶解穴，段家送客，秦紅棉、甘寶寶、鐘萬仇離去。
高升泰站在屋簷角上微微躬身，道：「送客！」,咳嗽一聲，回頭對準圍牆吐一口濃痰。啪的一聲響，這口濃痰倒吐得既准且勁。,高升泰藉機教訓粗莽又武功不佳的鐘萬仇。
木婉清迷迷惘惘地從鎮南王府中出來，段王妃刀白鳳和鐘萬仇向她招呼，她聽而不聞，逕自掩面疾奔。,要是跳了下去，這般壯麗無比的景色，還有別的許許多多好看東西，就都再也看不見了。,木婉清深陷情網，雖然已經知道段譽和自己是親兄妹，不可能結為連理，但段不了情，十分痛苦，本欲自我了斷，卻見著絕佳美景，因此轉念不想死了。
悄立江邊，思湧如江水奔騰，突然眼角瞥處，見數十丈外一塊岩石上坐得有人。,木婉清急速轉身三次，除了自己的影子外，什麼也看不到。,木婉清發現一個神奇的青袍老人，他像是屍體，卻會說話。
這時已料定是這青袍客作怪。走近身去，大著膽子，伸手按住他嘴唇，問道：「是你跟我說話嗎？」,仍急忙應道：「我要的，我要的！」那聲音便不再響。,青袍老人不但會說話，還猜中木婉清的心思，說可以幫她把段譽從哥哥變丈夫。
過了一會，木婉清道：「你是誰啊？讓我見見你的相貌，成不成？」,木婉清道：「我見你可憐，不想殺你，不是不敢射。我才不乖乖地聽你吩咐呢！」這麼說著，右手手指卻離開了發箭的機括。,青袍老人原來是個內功高深之人，會腹語之術。青袍客他以鐵杖支地行走，這才看出他雙足已廢，但武功出奇高強。青袍客與木婉清約定好不可再過問青袍客之事。
青袍客兩根細鐵杖代替雙足，向前行去。木婉清跟在他身後，,木婉清無此能耐，老老實實地鑽過大樹枝葉，在樹牆彼側跳下地,青袍客對萬劫穀相當熟悉，帶著木婉清一子下子便進到穀內。
只見眼前一大片空地，中間孤零零的一間石屋。,外面再無聲息，湊眼從孔穴中望將出去，遙見青袍客正躍在高空，有如一頭青色大鳥般越過了樹牆。,青袍客把木婉清關進一間神秘石屋。
她回過身來，睜大眼睛，見屋角中有桌有床，床上坐著一人，她又是一驚，叫道：「你……你……」,卻會腹中說話，雙足殘廢而奔行如飛，不禁大感有趣，不住追問詳情，嘖嘖稱異。,石屋中關著段譽，兩人相見，情不自禁，但又驚想起兩人是兄妹的事實，只得只注。木婉清向段譽描述青袍客一事。
兩人說了良久，忽聽得屋外喀的一響，洞孔中塞進一隻碗來，有人說話：「吃飯吧！」,多則數百人，少則數十人，就算次一等的公侯貴官，也必有姬人侍妾。自古以來，歷朝如此，世人早已視作理所當然。,段譽、木婉清一邊吃飯，一邊聊著父親的風流，段譽卻認為三妻四妾很理所當然。
木婉清一聽，心頭升起一股怒火，重重揮掌打去，正中他右頰，,驀地裡手臂一緊，笑道：「你還逃得了麼？」右掌啪的一下，清脆之極地在他左頰上打了一掌。,木婉清聽段譽所言，不由得發怒，打了段譽一巴掌以後，用計打到第二掌，卻也被段譽抱在懷裡。
段譽吃痛，只叫了一聲「啊唷」，突然丹田中一股熱氣急速上升，,致想對婉妹做亂倫之行，倒不是我枉讀了聖賢書，突然喪心病狂，如禽獸一般。」,兩人差點發生亂倫之事，經絕食物有毒。
但身上委實熱得難忍，將衣服一件件地脫落，脫到只剩一身單衣單褲，便不再脫，,我大理段氏數百年的清譽，不能在我手裡壞了。否則我死之後，如何對得起列祖列宗？,段譽、木婉清兩人抵抗春藥的藥力，但十分困難，段譽深怕自己鑄成大錯，要木婉清給他毒箭，若真的忍不住就要自殺。
忽聽得石室外有聲音說道：「大理段氏本來是了不起的，可是到了段正明手中，,他嘴不能動，笑聲從喉頭發出，更是古怪難聽。,青袍客原來與段正明有深仇，因此想藉木婉清毀掉段家。
段譽欲再辯說，一斜眼間，見到木婉清海棠春睡般的臉龐、芙蓉初放般的身子，一顆心怦怦猛跳，,木婉清道：「你……你坐到我身邊來，我就聽你說。」,段譽想教木婉清《易經》來抵禦藥力，但是木婉清已受藥力控制，一直勾引段譽。 
只聽那青袍客在屋外說道：「很好，很好！你兩人成了夫妻，,說了這兩句話，從此再無聲息。,青袍客說出自己的復仇大計。
段譽情知和木婉清多說一句話，便多一分危險，面壁而坐，,只聽得那青袍客的聲音說道：「小子倒也有點見識。老夫位居四大惡人之首，‘惡貫滿盈’便是我！」,段譽只好自己面壁苦思凌波微步，藉此抵禦藥力，木婉清抵擋不住藥力，想要自殺以保段譽的清白，青袍客這才說出自己就是四大惡人之首。
