此段落的最初2-5句話,此段落的最末2-5句話,段落大意
遠處一騎馬緩緩行來，馬背上伏著一人。玉虛散人等快步迎上，只見那人正是善闡侯高升泰。,褚萬里牽過馬來，讓玉虛散人、段譽、木婉清三人乘坐。,家臣們與高升泰合力勸玉虛散人回大理王府躲避四大惡人，幾番思量，玉虛散人終於同意一起回府。
一行人首途前赴大理，玉虛散人、木婉清、段譽、高升泰四人乘馬，褚萬里、古篤誠、朱丹臣三人步行相隨。,段譽心中一蕩，眼光轉處，見母親正似笑非笑地望著自己兩人，不由得大窘。,木婉清發現段譽的排場，思忖他的身分不一般，當眾人之面，逕直問起山頂的婚約是否還算數。
申牌時分，離大理城尚有二三十裡，迎面塵頭大起，成千名騎兵列隊馳來。,大道上前後左右都是人，她卻突然只覺說不出的孤寂，須得靠近段譽，才稍覺平安。,還未到大理城，木婉清就被段家的排場與威儀震懾到，面對那樣的排場，更覺自己孤身一人。
鎮南王在玉虛散人馬前丈餘處勒定了馬，兩人你望我一眼，我望你一眼，誰都不開口,玉虛散人笑道：「你那木姑娘才是絕世無雙的美人兒，你取笑媽這老太婆麼？」,段譽插科打諢化解鎮南王與玉虛散人間的尷尬。
鎮南王轉頭向木婉清看去。段譽道：「她……她是木姑娘，是兒子結交的……結交的好朋友。」,段譽與母親有說有笑，在鐵甲衛士前後擁衛下馳向大理城，卻不免將木婉清冷落了。,段譽介紹木婉清給鎮南王認識，木婉清不知禮數，不懂拜見，段譽一家和樂，木婉清被冷落。
黃昏時分，一行人進了大理城南門。「鎮南」、「保國」兩面大旗所到之處，眾百姓大聲歡呼：「鎮南王爺千歲！」,段譽向木婉清道：「你在此稍坐片刻，我見過皇上、皇后，便來陪你。」,大理城內十分繁華，段譽的家世顯赫，不言而喻。段譽聰慧，是父母間的潤滑劑，很受父母疼愛。
木婉清不願他離去，但也沒法阻止，只得委委屈屈地點了點頭，徑在首座第一張椅上坐了下來。,高升泰道：「段公子是高升泰道：「木姑娘，咱們去叩見皇上。」,段譽的王爺身份被高升泰揭露。木婉清率質粗野，不懂禮儀，諸多失禮之處。木婉清、高升泰一起去見皇帝。
木婉清雖然天不怕、地不怕，聽說要去見皇帝，心頭也有些發毛，,道：「謝謝你啦。下次我也去找一件好看的東西送給你。」皇后微微一笑，說道：「那我先謝謝你啦！」,木婉清的言行舉止引起眾人莞爾。雖她不懂禮數，但保定帝隨和寬容，認為木婉清誠樸天真，頗為喜歡，因此皇后賞了木婉清一隻玉鐲。
忽聽得西首數間屋外屋頂上格的一聲響，跟著鄰室的屋上又是格的一響。,快快求我收你為徒，跟我去學功夫！」說著伸出雞爪般的手來，抓向段譽肩頭。,南海鱷神來襲。
鎮南王見他這一抓來勢勁急，著實厲害，生怕他傷了愛子，當即揮掌拍去。,南海鱷神道：「你兒子很像我，是塊極難得的學武材料，只須跟我學得十年，包他成為武林中一個了不起的高手。」,段正淳出手救段譽，與南海鱷神交手，兩人皆知對方武功高強，但南海鱷神還是想要抓段譽。
段正淳又好氣，又好笑，但适才跟他對掌，已知此人武功好生了得。,南海鱷神道：「快來動手，囉裡囉唆幹嗎？」段譽走上兩步，和他相對而立。,段譽仗著有人保護，耍嘴皮子戲弄南海鱷神，皇帝眾人看戲。段正淳縱容段譽胡鬧瞎說，段譽繼續戲弄南海鱷神，南海鱷神想把段譽的師父殺了，便可收段譽為徒。段譽帶假師父來見，用計使南海鱷神與自己決鬥。
廳中眾人自保定帝、皇后而下，除木婉清外，人人都是看著段譽長大的，,南海鱷神不怒反笑，說道：「這個自然。你拜我為師之後，也是這樣。」,欲擒南海鱷神，保定帝看出段譽有智計，制止眾人，讓段譽繼續行動，說定要接南海鱷神三招。若能接招，鱷神就要拜段譽為師。
段譽將所學的淩波微步默想了十幾步，覺得要逃過他三招，似乎也並不難。,幸好花廳中鋪著地毯，並不受傷，他急怒之下，一個「鯉魚打挺」，跳起身來，左手便向段譽抓去。,段譽憑著凌波微步與無量劍七弟子的內力，先發制人，並且閃過第一招。
廳上眾人見此變故，無不驚詫萬分。段正淳見南海鱷神出抓淩厲，正要出手阻格，,玉虛散人向兒子白了一眼，心道：「好啊，你向伯父與爹爹學了這等奇妙功夫，竟一直瞞著我。」,段譽使出凌波微步，閃過第二招。又閃過第三招，但因起了玩心被南海鱷神所傷。眾人發現段譽學了奇妙的功夫。
木婉清大聲道：「嶽老三，你三招打他不倒，自己反被他摔了一交，快磕頭拜師啊！」,椅子、桌子、茶壺、茶杯紛紛隨著他掌力而壞，但始終打不到段譽身上。,段正淳怒道：「我大理段氏子孫，焉有與人對敵而臨陣退縮的？快去打過，伯父教的不錯！」
轉眼間三十餘招已過，保定帝和鎮南王兄弟早瞧出段譽腳步虛浮，確然不會半點武功。,段譽耳上疼痛，怯意更甚，加快腳步橫轉直退，躲到了段正淳背後，苦笑道：「伯父，我不成！」,段譽雖步法絕妙，但不會武功，雖然段正淳出言指點，但段譽膽怯，反而被南海惡神所傷，更加怯懦。
段正淳怒道：「我大理段氏子孫，焉有與人對敵而臨陣退縮的？快去打過，伯父教的不錯！」,段正淳以「一陽指」暗助兒子，合父子二人之力方將南海鱷神制服，廳上眾人均了然於心。雖是如此，南海鱷神折服在段譽之下，卻也無可抵賴。,段譽鼓起勇氣迎戰，段正淳暗自相助，父子合力制伏南海鱷神。
此人也真了得，段譽雙手既離穴道，他略一運氣，便即躍起身來，,那七分醉、三分醒的霍先生只嚇得簌簌發抖，退了出去。,南海鱷神磕頭拜段譽為師，離去之時殺了一衛士。
保定帝道：「譽兒，你這套步法，當是從伏羲六十四卦方位中化將出來的，,段正淳等恭送皇帝、皇后起駕回宮，直送至鎮南王府的牌樓之外。,保定帝問起段譽的步法來歷，段譽演示凌波微步。
