此段落的最初2-5句話,此段落的最末2-5句話,段落大意
慕容博給玄慈揭破本來面目，又說穿當日假傳訊息、,劍氣縱橫，天下第一劍之言，名不虛傳。」,蕭峰父子對上慕容博，情勢緊張，鳩摩智忽然出現與慕容博攀談。
便在此時，人影晃動，藏經閣中又多了一人，,蕭兄可知在下幹此無行敗德之事，其意何在？」,鳩摩智與慕容復都在場，變成三比二對上蕭峰父子，慕容博說要與蕭遠山做一樁買賣。
蕭遠山怒氣填膺，戟指罵道：「你本是個卑鄙小人，,「你將大燕國的傳國玉璽，取出來給蕭老俠瞧瞧。」,慕容博說出挑撥生事的原因，並道出自己的身世，要慕容復拿出大燕國玉璽。
慕容復道：「是！」解開負在背上的布包，取出一顆黑玉雕成的方印。,不但慕容先生複國有望，我吐國蕃國也能分一杯羹了。」,慕容復又拿世系譜表，證明血統，說明自己擾亂宋遼，是為了複國。
蕭遠山冷哼一聲，斜睨二人。,先生這……這不是死得輕於鴻毛了麼？」,他跟蕭遠山談的條件便是請蕭峰幫他，這樣他就任蕭遠山宰割。
慕容博道：「蕭老俠隱居數十年，俠蹤少現人間。,蕭遠山年輕之時，一心致力於宋遼休戰守盟，聽了兒子這番話，點頭連聲稱是。,蕭峰沒有被慕容博激到，仍堅持不出兵，不願破壞宋遼和平。
忽聽得長窗外一個蒼老的聲音說道：「善哉，善哉！,背上冷汗一陣陣冒將上來，一顆心幾乎也停了跳動。,在中人沒察覺的情況下出現了一位老僧，老僧知道蕭遠山許多三時前做的事。
那老僧慢慢轉頭，向慕容博瞧去。慕容博見他目光呆滯，直如視而不見其物,有幾人便合什讚歎：「我佛慈悲，善哉，善哉！」,老僧連慕容博讀武功祕笈的事也知道得很詳細，後來其他少林高僧出現。
只聽他繼續說道：「我少林寺建刹數百年，古往今來，唯達摩祖師一人身兼諸門絕技，,但他在一夜之間，突然筋脈俱斷，成為廢人，那便是為此了。」,老僧解釋少林武功的真諦，也說出如果亂得不對走火入魔就會像玄澄大師一樣變成廢人。
玄因、玄生、二人同時跪倒，說道：「大師，,已集佛道兩家之所長。即是貴寺之中，亦不乏此道高手。」,鳩摩智不服老僧，使出「無相劫指」卻無效，老僧看一眼就說出鳩羅智練過的武功。
那老僧微現驚異之色，說道：「少林寺中也有人會,「這麻木處十年前只小指頭般大一塊，現下……現下幾乎有茶杯口大了。」,老僧精準地說出，鳩摩智身上穴位的狀況，蕭遠山的身體狀況也是一下子就被他說中。
蕭峰一聽，知父親三處要穴現出這般跡象，系強練少林絕技所致，,乃因強練少林派武功而起，欲覓化解之道，便須從佛法中去尋。」,蕭峰求老僧幫自己的父親治病。
他說到這裡，轉頭向慕容博道：「慕容老施主視死如歸，自不須老衲饒舌多言。,蕭峰排山倒海的掌力撞在這堵牆上，登時無影無蹤，消於無形。,老僧也精準地說出慕容博的身體狀況
蕭峰心中一凜，他自藝成以來，武功上從未輸於何人，,緩步向前，伸出一掌，拍向慕容博頭頂。,慕容復拉著父親慕容博想溜走，被蕭峰阻止，兩人要打起來了，被老僧化解。
慕容博初時見那老僧走近，也不在意，待見他伸掌拍向自己天靈蓋，,以平積年仇恨。現下慕容老施主是死了，蕭老施主這口氣可平了吧？」,被阻止的蕭峰自知武力不如老僧，請他恕罪，懇求他醫治蕭遠山，老僧反問他是否願意幫慕容博治病。
蕭遠山見那老僧一掌擊死慕容博，本來也訝異無比，聽他這麼問,卻要找老衲和你報仇，卻如何是好？」,老僧拍了慕容博的穴道，他便斷了氣，慕容復，他攻擊老僧，老僧卻不受影響，老僧問蕭遠山是否能放下仇恨。
蕭遠山心灰意懶，說道：「大和尚是代我出手的，,雙手仍抓著兩具屍身，三個身子輕飄飄的，渾不似血肉之軀。,慕容博死後，一心尋仇的蕭遠山一時沒了方向。隨後老僧又打死了蕭遠山，並將他們的屍體帶走。
蕭峰縱身急躍，追出窗外，只見那老僧手提二屍，,眾人心中盡是疑團，但見那老僧全神貫注地轉身發掌，誰也不敢出口詢問。,老僧健步如飛，躲過蕭峰的攻擊，最後拍醒原本死去的兩人。
漸漸聽得蕭遠山和慕容博二人呼吸由低而響，愈來愈粗重，,我有幾句話，不妨說給你們聽聽。」當即端坐說法。,老僧要他們四手互握，以陰濟陽，以陽化陰，兩人臉色恢復，兩人皆大徹大悟，還欲求老僧收為徒弟。
蕭峰和慕容復見父親跪下，跟著便也跪下。,不料鳩摩智忽然間會下毒手，胸口竟然中了他一招「火焰刀」。,段譽趕到時，大家都在聽佛法，鳩摩智用一招「火焰刀」對付段譽。
