此段落的最初2-5句話,此段落的最末2-5句話,段落大意
前後只一頓飯功夫，「無量劍」東宗接連死了兩名好手，眾人無不駭然。,他一向頤指氣使慣了，隨便一句話，似乎都是叫人非好好回答不可。,鍾靈看出信箋有毒，左子穆打聽鍾靈來歷。
那少女忽問：「你吃瓜子不吃？」左子穆臉色微微發紫，若不是大敵在外，早已發作，當下強忍怒氣，道：「不吃！」,那少女道：「嗯，原來如此。他們要採的是什麼藥？」左子穆道：「這個倒不大清楚。」,少女與左子穆對話的過程中，釐清神農幫與無量劍結仇的原因。原來是容子矩曾失手殺了神農幫2人。
那少女得意洋洋地道：「諒你也不知道。你已跟我說了結仇的經過，我也就跟你說兩件事吧。那天我在山裡捉蛇，給我的閃電貂吃……」,她說到這裡，左子穆與辛雙清對望了一眼。,左子穆向少女打聽上山路上所聽聞的神農幫消息。得知神農幫視聽奉飄渺峰靈鷲宮的號令而來。
那少女問道：「縹緲峰靈鷲宮是什麼玩意兒？為什麼神農幫要奉他的號令？」,來到劍湖宮的眾賓客眼見閃電貂靈異迅捷，均自駭然，誰也不敢出頭。,少女向左子穆交代了神農幫一些情報之後，欲離開無量山劍湖宮，卻遭左子穆阻擋。少女使出毒貂，帶著段譽一同走出劍湖宮。
那少女和段譽並肩出了大門。無量劍眾弟子有的在練武廳內，有的在外守禦，以防神農幫來攻。兩人出得劍湖宮來，竟沒遇上一人。,我去跟爹爹討瞭解藥來，那大漢腦袋都不在脖子上了，一個無頭人身上有毒無毒，只怕也沒多大相干了吧？」,段譽勸少女提供解藥給左子穆，少女不肯。
段譽搖了搖頭，只得不說解藥之事，眼見明月初升，照在她白裡泛紅的臉蛋上，更映得她容色嬌美。,鍾靈點了點頭，問道：「你幹嗎要從家裡逃出來？」段譽道：「爹爹要教我練武功，我不肯練。他逼得緊了，我只得逃走。」,兩人越談越和睦，少女自稱鍾靈，段譽說明逃家的原委。
鍾靈睜著圓圓的大眼向他上下打量，甚是好奇，問道：「你為什麼不肯學武，怕辛苦麼？」段譽道：「辛苦我才不怕呢。我只是想來想去想不通，不聽爹爹的話。爹爹生氣了，他和媽媽又吵了起來……」,要是有人知道你爹爹會這功夫，說不定便起下歹心，將你綁架了去，要你爹爹用‘一陽指’的穴道譜訣來換。那怎麼辦？」,段譽不肯向父親習武，也不了解段家一陽指的厲害。
段譽曾聽父母說過，他爹爹所會的確是「一陽指」，便搔頭道：「我爹爹惱起來，就得跟那人好好地打上一架了。」,段譽道：「不成，這件事我非管一管不可，你倘若害怕，便在這裡等我。」說著站起身來，向東走去。,段譽對江湖上的鬥毆不以為然，打算前去勸說神農幫。
鍾靈待他走出數丈，忽地縱身追去，右手探出，往他肩頭拿去。段譽聽到了背後腳步聲音，待要回頭，右肩已給抓住。,鍾靈大叫阻止，段譽只是不聽。鍾靈怔了一陣，道：「好，你說過有瓜子同吃，有刀劍齊挨！」追上去和他並肩而行，不再勸說。,鍾靈勸阻不成，反倒把段譽打暈。段譽仍堅持要去神農幫，鍾靈只得一同前去。
兩人走不到一盞茶時分，只見兩名黃衣漢子快步迎上，左首一個年紀較老的喝道：「什麼人？來幹什麼？」,請司空幫主懸崖勒馬，急速歸去，不可再向無量劍尋仇了。」,段譽見到了神農幫幫主司空玄，說明來意之後，司空玄不以為然。
司空玄冷冷地聽他說話，待他說完，始終默不作聲，只斜眼側睨，不置可否。,高老者悶哼一聲，放脫她手臂，坐倒在地。閃電貂已在他手背上咬了一口，躍回鍾靈手中。,神農幫抓住段譽，欲抓鍾靈之時，鍾靈反抗，放出閃電貂。
司空玄身旁一名中年漢子急忙搶上前去，伸手扶起高老者，只覺他全身發顫，手背上黑漆一片。鍾靈又是兩聲尖哨，閃電貂躍將出去，躥向抓住段譽的阿勝面門。,閃電貂再度躥出，但司空玄掌上蛇藥正是它的剋星，要待咬他頭臉大腿，司空玄雙掌飛舞，逼得它無法近前。,司空玄見閃電貂有毒，便拿出秘製蛇藥，沒想到正是閃電貂的剋星。
司空玄見這貂兒縱跳若電，心下也覺害怕，不住口地連發號令。,但這貂兒毒性大異尋常，如不得她獨門解藥，只怕難以救活眾人，便道：「留下二人活口，別蓋住頭臉。」,司空玄欲活埋鍾靈，段譽奮身同歸於盡，司空玄心中一動，便留二人活口。
片刻之間，土石已堆到二人頸邊。鍾靈只覺身上沉重之極，段譽抱住了自己，雖然兩人身子都給埋在土裡，只露出了兩個頭，倒也不怎麼害怕。,段譽見她粉臉紅潤，小嘴微張，甚是可愛，伸過嘴去，在她臉上輕輕一吻。鍾靈登時羞得滿面通紅。,段譽在土堆中親了鍾靈一下。
司空玄冷笑道：「喂，你們兩個要出來做小夫妻呢？還是就這樣埋在土裡，做對陰世冤家？」,鍾靈道：「你這人真笨得可以啦。我早跟你說，只有我爹爹能治閃電貂的毒，連我媽媽也不會。這閃電貂世所罕見，是天生神物，牙齒上的劇毒怪異之極，你道好容易治麼？」,司空玄向鍾靈索取解藥，鍾靈強調只有父親能解。
司空玄聽得四周被閃電貂咬過的人不住口怪聲呻叫，料想這貂毒確是難當已極，否則這些人都是極要面子的好漢，縱使給人斫斷一手一腳，也不能哼叫一聲。,諸幫眾心下栗栗，忙倒金創藥替他敷上，可是斷手處血如泉湧，金創藥一敷上去便給血水沖掉。有人撕下衣襟，用力紮緊他臂彎，血才漸止。,談判之餘，司空玄不小心被閃電貂咬中兩口，運功驅毒後，仍然砍下自己一隻手臂。
鍾靈看到這等慘像，嚇得臉也白了，不敢再做一聲。司空玄沉聲問道：「給這鬼毒貂咬了，活得幾日？」,鍾靈道：「不成，不成！我爹爹有言在先，不論是誰，只要踏進我家谷中一步，便非死不可。」,司空玄為逼鍾靈交出解藥來歷，便讓段譽服下斷腸散，以此脅迫鍾靈。
司空玄心想：「此間無量劍之事未了，也不能離此他去。倘若誤了這裡的事，天山童姥怎能饒我？只有死得更慘。」,道：「有了！我教你個法兒，你別跟我爹爹說我在這裡，他如殺了你，就不知我在什麼地方了。不過你一帶他到這兒，馬上便得逃走，否則他定要殺你。」段譽點頭道：「這法子倒也使得。」,司空玄和鍾靈協議，讓段譽前往鍾靈的家，請鍾靈的父親來解毒。
鍾靈對司空玄道：「司空幫主，段大哥一到便即逃走，你這斷腸散的解藥如何給他？」,司空玄暗暗切齒，心想；「待我傷癒之後，若不狠狠擺佈你這小娃娃，我司空玄枉自為人了。」當下站起身來，也走了開去。,段譽取了鍾靈的信，以及鍾靈一隻鞋當作信物。
鍾靈歎了口氣，道：「段大哥，咱二人今日剛會面，便要分開了。」段譽笑道：「來回四天，也快得很，只是我有點兒捨不得跟你分開。」,段譽一笑，道：「是了！」心想這姑娘小小年紀，心眼兒卻多，當下哼著曲子，揚長而去。,鍾靈私下告訴段譽家中位置，並叮嚀了一番。
