此段落的最初2-5句話,此段落的最末2-5句話,段落大意
但聽得報曉雞啼聲喔喔，段譽自覺四肢百骸間已無殘存真氣，站起身來活動一下肢體，見伯父和五位高僧兀自在專心練劍。他不敢開門出去閒步,還是悄悄出去找些吃的吧。」便在此時，鼻端忽然聞到一陣柔和的檀香，跟著一聲若有若無的梵唱遠遠飄來。,破曉之時，段譽身上已無殘存真氣。因為無聊，他便依六張圖譜所會各處穴道運行真氣，其後又逐一看了六種劍法，但覺得難懂，正想出門覓食的時候，大輪明王已經抵達。
枯榮大師說道：「善哉！善哉！大輪明王駕到。你們練得怎麼樣了？」,是以一聽到大輪明王的話，便即凜然，說道：「明王遠來，老衲未克遠迎。明王慈悲。」,枯榮大師讓本因方丈大輪明王鳩摩智請到牟尼堂。鳩摩智以四句偈言，道破枯榮大師所參的枯禪來歷，讓他心中一驚。
大輪明王鳩摩智道：「天龍威名，小僧素所欽慕，今日得見莊嚴寶相，大是歡喜。」,鳩摩智袍袖一拂，箱蓋無風自開，只見裡面是一隻燦然生光的黃金小箱。鳩摩智俯身取出金箱，托在手中。,鳩摩智對眾人說明自己與慕容博的情誼，因知道他尚未窺得一陽指和六脈神劍的的門徑，所以曾向他誇口，要代他向天龍寺取來《六脈神劍經》的承諾。
本因心道：「我等方外之人，難道還貪圖什麼奇珍異寶？再說，段氏為大理一國之主，一百五十餘年的積蓄，還怕少了金銀器玩？」,武學上不但可與少林並駕齊驅，抑且更有勝過。蓋天龍寺通悉少林絕技，本寺的絕技少林卻無法知曉。,鳩摩智取出一只裝有「少林寺七十二門絕技」的金箱， 這三卷書是是慕容博親手書寫的要旨。
鳩摩智道：「貴寺賜予寶經之時，盡可自留副本，眾大師嘉惠小僧，澤及白骨，自身並無所損,本相沉吟半晌，說道：「嗯，以本相破無相，高明之至。」,鳩摩智欲以此大禮，交換《六脈神劍經》，並告訴眾人贈經時可以留下副本，而他本人決不私窺，並告知少林寺七十二絕技中的「拈花指」、「多羅葉指」、「無相劫指」三項指法，與一陽指有互相印證的功能，企圖用這三個有利而無損的優點，說服天龍寺贈經，說完還演示了三種指法。
本因、本觀、本相、本參四僧見了鳩摩智獻演三門指力，都不禁怦然心動，已知三卷奇書中所載,明王遠來辛苦，待敝寺設齋接風。」這麼說，自是拒絕了大輪明王所求。,本因、本觀、本相、本參見鳩摩智獻演三門指力，都不禁怦然心動，請示枯榮的意見。枯榮一番詰問，點出只要將一陽指修習周全，便不再需要旁人的武學奇技，於是本因婉拒了大輪明王所求。
鳩摩智長歎一聲，說道：「都是小僧當年多嘴的不好，否則先生人都不在了，這《六脈神劍經》求不求得到手，又有何分別？,吐蕃強而大理弱，戰事若起，大局可慮。但他這般一出言威嚇，天龍寺便將鎮寺之寶雙手奉上，這可成何體統？,本因要送客，鳩摩智不肯走，並以吐蕃國國師身分要脅，如果天龍寺不答應他的要求，便要鼓動吐蕃國國主出兵大理國。
枯榮大師道：「明王既堅要此經，老衲等又何敢吝惜？明王願以少林寺七十二門絕技交換，敝寺不敢拜領。,鳩摩智喝道：「好，是中沖劍法！」揮掌擋住，以一敵二，毫不見怯。,枯榮大師便提出以六脈神劍領教鳩摩智的武功。鳩摩智取出六炷香，以內力點燃，並以掌力「火燄刀」控至六炷香燃出的六道碧煙，枯榮等六人分別以劍氣對著碧煙展開比試。
段譽坐在枯榮大師身前，斜身側目，凝神觀看這場武林中千載難逢的大鬥劍，他雖不懂武功，卻也知道這幾位高僧以內力鬥劍,便覺圖上線路固定，而碧煙來去，變化無窮，比之圖譜上所繪可繁複得多了。,段譽在一旁觀鬥，並打開劍法圖譜一一對照。枯榮只點他「只學一圖，學完再看」，並讓段譽把握良機觀劍，他是「自觀自學」，並不違背六脈神劍不傳俗家段是弟子的祖訓。
再觀看一會，本因、本相、保定帝三人的劍法也已使完。,本因、保定帝等也各收指停劍。各人久戰無功，早在暗暗擔憂，這時方始放心。,鳩摩智觀察劍招後，開始轉守為攻；而枯榮大師也有意看透他的底細。兩人過招，鳩摩智受傷流血，敗了第一仗。
鳩摩智跨步走進室內，微笑道：「枯榮大師的禪功非同小可，小僧佩服之極。,「第一仗貴寺稍占上風，第二仗小僧似乎已有勝算。」本因一驚，問道：「明王還要比拼第二仗？」,鳩摩智值一六人所使是六脈神劍的「劍陣」，而非「劍法」，閉目思索後，要求再打第二仗。
鳩摩智道：「大丈夫言而有信。小僧既已答允了先生，豈能畏難而退？」本因道：「然則明王如何已有勝算？」,好在六人心中分別記得一路劍法，待強敵退去，再行默寫出來便是，只不過祖傳的圖譜卻終於就此毀了。,雙方開始第二仗，枯榮卻出乎鳩摩智意料，寧為玉碎，不為瓦全，將祖傳圖譜燒毀。
鳩摩智又驚又怒，他素以智計自負，今日卻接連兩次敗在枯榮大師的手下，《六脈神劍經》既已毀去，則此行徒然結下了強仇,「保定帝出家也好，沒出家也好，都請到吐蕃一遊，朝見敝君。」說著拉了保定帝，便即跨步出門。,鳩摩智在枯榮大師手下連敗二仗，又驚又怒，離去之前，伸手扣住保定帝，要將他強行帶走。鳩摩智此次有備而來，早已查明天龍寺幾位武學高手底細，雖然突然冒出本塵，但稍加思索，便識破他是保定帝所扮。
本因喝道：「且慢！」身形晃處，和本觀一齊攔在門口。,雙手便不受力，一揮手便已脫卻鳩摩智的束縛，帶著段譽飄身後退，暗叫：「慚愧！今日多虧譽兒相救。」,段譽劍鳩摩智挾持保定帝，情急之下拉扯保定帝手腕，鳩摩智感受到自身真力，正透過保定帝流失。察覺段譽身負「化功大法」，大吃一驚。
鳩摩智這一驚非同小可，心想：「大理武林中，居然又出了一位大高手，我怎地全然不知？,鳩摩智一驚，忙出掌以「火焰刀」擋架。,鳩摩智一番言語相激後，再度以「火燄刀」攻擊段譽，保定帝與本相出手相護，本相受創吐血，段譽大怒，無意間使出六脈神劍的「商陽劍」劍法。
段譽這一出手，不但鳩摩智大為驚奇，而枯榮、本因等亦大出意料之外，其中最感奇怪的，乃是保定帝與段譽自己。,保定帝、本因、本參等齊聲叫道：「小心！」各自伸指向鳩摩智點去。,段譽出手，大大出乎眾人意料之外，但由於他不得要領，鳩摩智以為他是虛張聲勢，便再次以「火燄刀」的「白虹貫日」招式攻擊他。
他三人出招，自是上乘武功中攻敵之不得不救，哪知鳩摩智先以內勁封住周身要害，這一刀毫不退縮，仍然筆直砍落。,霎息之間，适才在圖譜上見到的那六路劍法一一湧向心頭，十指紛彈，此去彼來，連綿無盡。,保定帝與本因、本參見狀，又出手相助，段譽心裡驚慌，向鳩摩智反擊。
鳩摩智大驚，心中暗服：「這少年原來當真會使六脈神劍。」當下盡力催動內勁相抗，大堂中劍氣縱橫,不知如何收回內勁，只得手指一抬，向屋頂指去，心想：「我不該再發勁了，且聽他有何話說。」,「六脈神劍」與「火燄刀」的內勁都是有質無形，段譽無法像武功精湛的鳩摩智，可以觀察他出招的方位，只好胡亂攻擊，所以劍法變幻莫測，不拘泥於劍招，反而使鳩摩智難以招架，趕緊叫停。
鳩摩智見段譽臉有迷惘之色，收斂真氣時手忙腳亂，全然不知所云，心念微動，便即縱身而上，揮拳向他臉上擊去。,一拿住他「神封穴」，立即伸指又點他「極泉」、「大椎」、「京門」數處大穴。這些穴道所屬經脈，段譽也沒練過。,鳩摩智看段譽收斂真氣時手忙腳亂，心中動念，改以尋常拳腳功夫試他，瞧出他的武學破綻來。
鳩摩智倒退三步，說道：「這位小施主心中記得六脈神劍的圖譜。原來的圖譜已為枯榮大師焚去，小施主便是活圖譜。」,保定帝道：「快追！」衣襟帶風，一飄數丈。本參大師和他並肩齊行，向北追趕。,鳩摩智因而知道段譽記得「六脈神劍」的圖譜，既然原來的圖譜已經燒毀，那姑且拽走段譽這個「活圖譜」，保定帝與本參一路向北追趕。
