此段落的最初2-5句話,此段落的最末2-5句話,段落大意
段譽覺到南海鱷神傷口中的熱血流在自己臉上、頸中，想起做了他這麼多時的師父，從來沒給過他什麼好處，他卻數次來相救自己，今日更為己喪命，心下傷痛。,段延慶腦子中一陣暈眩，瞧出來一片模糊，似乎回到了二十多年前的月圓之夜。,段譽知道南海鱷神為了救自己而喪命，心理悲傷。段延慶提起鋼杖，要將段譽也殺了，刀白鳳突然出聲阻止，段延慶聽見「天龍寺外」，陷入二十多年前的回憶。
往事依稀,他掙扎著一路行來，來到天龍寺外，唯一指望是請枯榮大師主持公道。,二十多年前，大理國皇太子段延慶，父皇被奸臣所弒，自己在混亂中逃出大理，而後學成武功回來，堂兄段正明已是大理國國君，沒有人會記得他這個前朝皇太子，而此刻的他身受重傷，連個尋常士兵也打不過，所以掙扎著來到龍天寺外，指望請枯榮大師主持公道。
枯榮大師是他父親的親兄弟，是他親叔父，是保定帝段正明的堂叔父。,她的話說得很輕，全是自言自語，但語氣之中，卻充滿了深深的忿怒怨恨。,當時枯榮大師正在坐枯禪，在等待枯榮大師出定的時間裡，延慶太子因傷痛的折磨，沒了活下去的勇氣；也因飢渴，沒有求死的能耐。就在此時，一名感情遭受背叛的女子，從迷霧中走近。
段延慶心中登時涼了下來：「她不是觀世音菩薩。原來只是個擺夷女子，受了漢人的欺負。」,這樣一位高貴的夫人，竟會將她像白山茶花花瓣那樣雪白嬌豔的身子，去交給這樣一個滿身膿血的乞丐。,段延慶在垂死邊緣中，誤以為女子是聞苦救難的觀音菩薩；女子則惱恨著丈夫的負心薄倖，決意以自暴自棄、作賤自己的手段報復丈夫，於是獻身於眼前這個渾身血汙、惡臭不堪的叫化子。
那白衣女子離去之後良久，段延慶兀自如在夢中，這是真的還是假的？是自己神智糊塗了，還是真的菩薩下凡？,最近這一次與黃眉僧下棋比拼內力，眼見已操勝算，不料段譽這小子半途裡殺將出來，令他功敗垂成。,段延慶以為是菩薩捨身相就，精神大振，有了信念，覺得眼前一片光明。在菩提樹下叩謝菩薩恩德後，到窮鄉僻壤苦練家傳武功與腹語術。其後由於追殺仇敵手段凶狠毒辣，博得「天下第一惡人」的名頭，又自稱「惡貫滿盈」，並納葉二娘、南海鱷神、雲中鶴為羽翼。本來他圖謀復位已操勝算，卻有段譽殺出攪局，讓他功敗垂成。
鳳凰驛邊紅沙灘上，段延慶追上段正淳一行，擒獲眾人，其時段夫人刀白鳳見到段延慶臉上垂直而下的長刀疤，便已認了他出來,啊喲，他……他是十一月的生日，剛剛相距十個月，難道十月懷胎，他……他……他竟然便是我的兒子？」,刀白鳳早在鳳凰驛邊紅沙灘上，段延慶擒獲眾人時認出他來，當時寧死也不說出這檔舊事，如今為了救兒子，不得已將段譽就是他的親骨肉的實情說出。
他臉上受過幾處沉重刀傷，筋絡已斷，種種驚駭詫異之情，均無所現，但一瞬之間竟變得沒半分血色,這時候腦海中又是一暈，眼前微微一黑，心道：「我實是歡喜得過了份。」,段延慶看了段譽頸上小金牌的生辰八字，相信了刀白鳳所言不假，喜悅滿懷。
忽聽得咕咚一聲，一個人倒在門邊，正是雲中鶴。段延慶吃了一驚，暗叫：「不好！」,「什麼少停不少停的？快，快拿解藥來。」慕容複道：「真對不住舅媽了，解藥不在甥兒身邊。」,慕容復趁著段延慶不備，對屋裡所有人下了「悲酥清風」的毒，連自己的舅媽王夫人也沒放過。
段夫人刀白鳳遭點中的重穴原已解開，但不旋踵間又給「悲酥清風」迷倒。,還不如走火入魔，隨即化身為塵為灰，無知無識，也免了終身無盡煩惱。」,廳堂中只有事先聞了解藥的慕容復，以及百毒不侵的段譽沒有中毒。段譽得知王語嫣也是父親的親生女，心中痛苦難當，幾乎要走火入魔。
段延慶連運三次內息，全無效應，反而胸口更增煩惡，當即不言不動，閉目而坐。,今日我先扶保殿下登了大理國的皇位，殿下並無子息，懇請殿下收我為義子。我二人同心共濟，以成大事，豈不兩全其美？」,慕容復表現恭敬，對著被毒倒的段延慶磕頭，並與他交換條件，要沒有子嗣的他登上皇位後，收他為義子。
段延慶聽他說到「殿下並無子息」這六個字時，情不自禁地向段夫人瞧去，四目交投，刹那間交談了千言萬語。,所以要連問他三件為難之事，那是以進為退，令他深信不疑，如答允得太過爽快，便顯得其意不誠、存心不良了。,段延慶聽慕容復說到「殿下並無子息」時，看了段夫人一眼，彼此心照不宣。慕容復舉了後周柴氏的例子來說服段延慶。段延慶姑且答應，待毒性一解，便要把他殺了。但為了讓他深信不疑，便故意連問他三件為難的事，首先便要他改姓段。
慕容複沉吟片刻，躊躇道：「這個……」其實他早已想到日後做了大理皇帝的種種措施，與段延慶的猜測不遠,鄧百川、公冶乾、風波惡三人同時一揖到地，說道：「拜別公子！」風波惡將包不同的屍身扛在肩上。三人出門大步而去，再不回頭。,慕容復看透段延慶心思，也假意沉吟了半餉才答應改姓。慕容復心腹包不同阻止他改姓，教訓他此舉是不忠、不孝、不仁、不義，慕容復大怒，便殺了包不同，鄧百川、公冶乾、風波惡見狀質疑慕容復，其後一言不和，三人向慕容復拜別，頭也不回地離開了。
慕容複乾笑數聲，向段延慶道：「義父明鑒，這四人是孩兒家臣，隨我多年，但孩兒為了忠於大理段氏，不惜親手殺其一人，逐其三人。,好吧，段譽這小子暫且不殺，既在咱們父子的掌中，便不怕他飛上天去。你先給我解藥再說。」,慕容復擔心段延慶解毒後，再也沒有籌碼可以要脅他，就想多討好他，又覺得留下段譽後患無窮，便要以殺了段譽作為第一件功勞來討好他；段延慶刻意說段譽必須由他來殺，才能消除心頭之恨，催促慕容復為他解毒。慕容復要為段延慶解毒時，發現他向段夫人使眼色，且臉上有喜悅神情，疑心大起，轉而針對段正淳以拖延時間。慕容復逼迫段正淳早日讓位給段延慶，但他寧死也不肯就範，慕容復無可奈何。
慕容複道：「是！」但思：「延慶太子适才向段夫人使這眼色，到底是什麼用意？,「誰不知段正淳兼收並蓄，是閨女也好，孀婦也好，有夫之婦也好，一般的來者不拒。」幾聲喝問，又將甘寶寶殺了。,正當慕容復設法要再拖延給段延慶解毒時，王夫人也催促起慕容復來，於是慕容復先解了她的毒，而她又起鬨要慕容復殺了段正淳的四個女人，慕容復心念一動，改以四女的性命要脅段正淳。段正淳還是不肯就範，慕容復依次殺了阮星竹、秦紅棉、甘寶寶，段正淳非常心痛。
王夫人心中暗暗叫苦，她平素雖殺人不眨眼，但見慕容複在頃刻之間，連殺段正淳的三個情人，不由得一顆心突突亂跳，哪裡還敢和段正淳的目光相觸。,「那……那真好……那塊石壁上，有一把寶劍的影子，紅紅綠綠的，真好看，你瞧，你瞧，你見到嗎……」聲音漸說漸低，頭一側，就此寂然不動。,段正淳恨極了王夫人教唆慕容復殺了他的女人，故意柔聲對她說話，要引慕容復也將她殺了；而後又念及舊情心軟，改對她口出惡言，好讓慕容復別殺自己的舅母；殊不知王夫人此時已神智不清，已為段正淳是因為恨她所以怒罵她，傷心之餘便往慕容復劍尖衝去，臨死前又與段正淳互訴衷情。
慕容複冷冷地道：「鎮南王，你心愛的女子，一個個都為你而死，難道最後連你的元配王妃，你也要害死麼？」說著將劍尖慢慢指向段夫人胸口。,他知道再逗留片刻，立將為段譽所殺，大叫一聲，跳出窗子，飛奔而逃。,其後，慕容復又將劍尖指向鎮南王妃，段延慶出聲阻止，慕容復遲疑分神之際，段譽已調和內息，突然起身撞開慕容復。段譽對慕容復使出六脈神劍與凌波微步，經過一番渾戰，終於把慕容復打得狼狽不堪，跳窗逃走。
段譽扶著椅子站起，叫道：「媽，爹爹，沒受傷吧？」段夫人道：「快撕下衣襟，裹住傷口。」,段譽大叫：「媽媽！」撲在她身上，但見母親緩緩閉上了眼睛，嘴角邊兀自帶著微笑。,段譽為父母解毒、解穴，段正淳隨後以慕容復遺留的長劍自盡殉情，段夫人見狀也以長劍刺殺自己，段延慶要段譽快解他的毒，好讓他救回段夫人。段譽不明就裡，拿起剛杖便要擊殺段延慶，段夫人阻止段譽，臨死前告訴段譽他的身世之謎。
段譽叫道：「媽媽……」突覺背上微微一麻，跟著腰間、腿上、肩膀幾處大穴都給人點中了。,段延慶大喜，哈哈大笑，知道兒子終於是認了自己為父，不由得心花怒放，雙杖點地，飄然而去，對暈倒在地的雲中鶴竟不加一瞥。,段譽不肯認段延慶是自己的親生父親，段延慶大怒，原本要殺了他，心軟之餘轉念又想，他追討了大半輩子的皇位，終於回到自己兒子手上，也算是如願以償了，心想自己一生作惡多端，若能死在兒子手上，倒也一了百了；但段譽不願殺他，他知道段譽心理是認了他這個父親的，於是心花怒放，飄然而去。
段譽心中存著萬一之念，又去搭父親和母親的脈搏，探他二人的鼻息，終於知道確已沒回生之望，撲倒在地，放聲痛哭。,段譽來到宮中，見段正明兩眼已哭得紅腫，正待拜倒，段正明叫道：「孩子，怎……怎會如此？」張臂抱住了他。伯侄二人，摟在一起。,段譽為父母之死放聲痛哭，其後靈鷲宮四姝也先後趕到，華赫艮等五人被解毒解穴，一同向段正淳夫婦下拜，大放悲聲。次日清晨，段譽、華赫艮等將死者分別入殮。鎮南王善待百姓深得人心，世子段譽扶靈歸國時，百姓到十里之外迎接，舉國上下同感悲傷。段譽回國後立即入宮面聖，與段正明伯侄二人相擁痛哭。
段譽毫不隱瞞，將途中經歷一一稟明，連段夫人的言語也無半句遺漏，說罷又拜,天龍寺群僧在本因方丈率領之下，築壇興做法事，祈求大理國國祚長久、國泰民安、刀兵不興、四境清靖、民豐物阜。,段譽就途中經歷，一一向段正明稟明，包括了自己的身世。段正明心驚之餘，仍然決定將皇位傳給段譽。段譽拒不接受，段正明則要他保全父母名譽，以報答親恩，並勉勵他登基後，要愛民、納諫、節欲。後來大理國辦了保定帝的避位出家大典。
段譽灑淚拜別伯父本塵大師，回歸大理京城，朝廷中隆重舉辦登基大典，段譽登位為帝，年號「日新」,天下不孝之事，無過於此。原來只因我是‘天下第一大惡人’之子，才會做出這等‘天下第一大惡事’出來。」,段譽拜別伯父本塵大師後，朝廷隆重舉辦了他的登基大典，改年號為「日新」，追諡父親段正淳為「中宗文安帝」，母親刀白鳳為「慈和文安皇后」；對父親的情人秦紅棉、阮星竹、甘寶寶等家屬，都有賜贈；而對有功的臣子也加官晉爵；其後撥付了府第安置王語嫣、木婉清、鍾靈等女。段譽為了父母的名聲，苦惱於如何安排三女，並未依母親所說，愛娶誰便娶誰。
過得月餘，保山忽然天花流行，漸漸蔓延至大理一帶，國中死人甚多。,心想自己得為君主，乃是「天祿」，若不善待百姓，「天祿永終」，自己也不能為君了。,過了一個多月後，天花流行，疫情蔓延到大理國，段譽視察民情，不忍人民受苦，竟在災民面前自打巴掌，眾臣工見皇帝如此，也自責不已；災民見狀反而勸慰段譽。段譽回宮後，下旨宮內節衣縮膳，臣工減薪，全國普濟賑災。過了半個月後，疫情減弱，段譽稍微寬心，但仍叮囑百官，必定要將百姓的痛苦放在心上。
退朝之後，段譽素衣小帽，微服來到王語嫣的住所。管事跪下迎進大廳，王語嫣出來相見。,不論你要什麼，只須我力所能及，你儘管開口，我無有不允。」,段譽退朝後，去探望王語嫣。她感嘆和段譽有緣無份，動了削髮為尼的念頭，認為自己一生的不幸，一定是因為前世犯了重大的罪刑，所以業報深重，近日讀了佛經，深信世上諸事都在於一個「緣」字。段譽勸王語嫣不一定要削髮為尼，他可提供她一個清淨之地，以兄妹之情相待，盡力答允她的需求。
段譽見她對兩人乃是兄妹之事既不傷心惋惜，亦無纏綿留戀，比之當年木婉清得知是自己妹子之時的淒然欲絕情狀，渾不相同，心中忽有所感,「心魔」既去，眼中望出來，便是王語嫣的本來面目，耳中聽進去，便是王語嫣的本來語音，不再如過去那樣，經「心魔」一番加強美化裝飾之後，人則美如天仙，語則清若仙樂。,段譽再回憶起從前與王語嫣的種種，自知對她的癡迷，其實是佛家所說的「心魔」所致。如今他頭腦逐漸清醒，「心魔」之力減弱，且經歷了雙親逝世、得知了自己的身世，又登基為皇帝，對王語嫣的癡迷心情也大減。
只聽王語嫣道：「譽哥，這可多謝了。這樣說來，你不怪我，也不怪我媽媽？」,王語嫣嫣然一笑，說道：「好哥哥，多謝你啦！」,王語嫣決定回蘇州去，段譽體悟到愛一個人，便要使她心中快樂，便成全了她，並要派人將蔓陀山莊打理好了，再護送她去。
