此段落的最初2-5句話,此段落的最末2-5句話,段落大意
卻聽得隔室有人說道：「這‘莽牯朱蛤’已好久沒出現了，今晚忽然鳴叫，,你們就把我關到鬍子白了，那位聖使姊姊也決不會再想到我這個老白臉。」,段譽聽到隔間傳來郁游標與錢光勝對話，才知道是莽牯朱蛤的叫聲。這兩人猜測辛雙清把段譽抓來軟禁是因為段譽是個小白臉，靈鷲宮符聖使可能會有興趣。
正煩惱間，只聽錢光勝道：「咱二人豈不是也要……」,莫要當真惹出什麼事來。太太平平的，這就睡吧！」,莽牯朱蛤又吼起來。據二人說這是瘟神爺的坐騎，萬毒之王，人衹要瞧見，毒氣入腦化為一灘濃血。
鬱游標轉過話題，說道：「你猜幹光豪跟葛光佩這對狗男女,兩人都吃吃吃地淫笑起來。,兩人猜測逃走的兩個叛徒應該是在深山裡遇上了莽牯朱蛤送命了。
段譽尋思：「木姑娘在那小飯鋪中射死了幹葛二人，無量劍的人不會查不到啊,便潛心內想，隔牆之言說得再響，卻一個字也聽不到了。,段譽無心再偷聽兩人猥褻的言語，默想北溟神功中的經脈穴道，不再受外界干擾。
次日他又練那「淩波微步」，照著卷中所繪步法，一步步地試演。,幸好他沒跨得幾步，步子又不如何迅速，總算沒到絕經斷脈的危境。,段譽隔日又按照卷中所繪的步法練習淩波微步，第一次試走，體內經脈錯亂幾乎走火入魔。
他驚慌之中，出力掙扎，可是越使力，,再也忍耐不住，大叫：「妙極，妙極，妙之極矣！」,段譽任其自然一動不動，將六十四卦的步法想了一輪，膠結的經脈便此解開，至此已學會淩波微步的全套步法。
鬱游標在門外粗聲喝道：「大叫小呼的幹什麼？老子說過的話，沒有不算數的,非經脈震斷、嘔血身亡不可。鬱游標內力所失有限，也就未曾察覺。,郁游標聽到段譽大呼小叫，進來打人。一拳頭打在段譽膻中穴，內力源源不絕灌入段譽體內。
午飯過後，段譽又練「淩波微步」，,這是為木姑娘而挨，也說得上是「痛在身上，甜在心裡。」,段譽被關，專心練淩波微步，只希望能早日脫逃，去和木婉清會合。
坐在床沿，心中默想步法，耐心等候。,做夢也想不到，七名無量劍弟子的內力已盡數注入他的體內，七人幾乎成了廢人。,段譽趁著僕人送飯，想使出淩波微步逃跑，但卻被看守的郁游標扣住手腕大聲求救兵，郁游標的内力轉移到段譽體內，之後來支援的無量劍七名弟子內力也全數注入段譽體內。
段譽三腳兩步，搶到屋後，什麼「既濟」、「未濟」的方位固然盡皆拋到腦後,左子穆的孩兒可以還他了，也免得他掛念兒子，提心吊膽。」,段譽甩開身上的八個人，往深山密林奔去。發覺全身精力充沛，內力滿溢。
行出裡許，乍聽得吱吱兩聲，眼前灰影晃動，,「唉，鐘姑娘倘若知道了，可不知有多難過。」,段譽在在深山密林遇到鍾靈的閃電貂，被咬中了貂毒，四肢漸漸僵硬時，遇到萬毒之王莽牯朱蛤，莽牯朱蛤噴出紅霧，把閃電貂毒死了。
只見朱蛤躍上閃電貂屍身，在它頰上吮吸，,暖氣果然順著他運熟了的經脈，流入了膻中氣海，就此更無異感。,草叢中突然躥出一條大蜈蚣，直直往段譽的嘴裡鑽去。莽牯朱蛤追著蜈蚣跳入段譽的肚中，以毒攻毒反而解了他身上的貂毒，化為肚中的一團熱氣。
鬧了這半天，居然毫不疲累,又怕南海鱷神久等不耐，傷害了她，忍不住縱身大呼。,段譽走出密林，看到左子穆提劍狂奔，便悄悄尾隨他，以期與木婉清相會。
