此段落的最初2-5句話,此段落的最末2-5句話,段落大意
巴天石道：「誰有火刀火石？先點著了燈再說。」只聽兩個人不約而同地說道,「敵人是何用意，現下難知。但他們既要咱們沒火，咱們偏偏生起火來，想來總是不錯。」,巴天石等三人發現自己的火刀火石都被老婆婆掉了包，無法點燈，黑暗之中想起近日的遭日，覺得有如被人算計，卻瞧不出辦點端倪。巴天石提議先設法將火升起來再說。
他說著轉身走入廚房，取過兩塊木柴，出來交給朱丹臣,但聽得清風動樹，蟲聲應和，此外更無異狀。,幾人合力將木柴碾成木屑，再以兩把單刀互擊出火星，終於將木屑燃起火來，拿來油燈點亮。
巴天石見良久並無動靜，在木屋各處仔細查察，見幾條柱子上都包了草席，外面用草繩綁住了,一面搖頭擺腦地吟詩，一面斜眼瞧著王語嫣。王語嫣俏臉生霞，將頭轉了開去。,巴天石見到幾條柱子上包了草蓆，便將草蓆扯下，楹聯上又有缺字，段譽見了，便用指力刻劃，把字補齊。
鐘靈道：「這些木材是什麼樹上來的，可香得緊！」,巴天石撕下衣襟，猛力撲打。段譽、木婉清、王語嫣、鐘靈四人也都忍痛撲打。,段譽刻劃的木材傳出馥郁的花香，引來大批蜜蜂，螫刺眾人。
巴天石、朱丹臣、段譽、木婉清四人出手之際，都運足了功力，過不多時，屋中蜜蜂只剩下了二三十只,自是為蜜蜂刺過之處，又察覺是在地下，到底身在何處，距暈去已有多少時候，卻全然不知。,眾人雖奮力抵抗群蜂攻擊，卻仍因蜂毒先後暈倒，不省人事。
正茫然無措之際，忽聽得一個女子厲聲說道：「我花了這麼多心思，要捉拿大理姓段的老狗，你怎麼捉了這只小狗來？」,不知她從何處找得這許多蜜蜂，只追著我們叮？這女子到底是誰？她不是鐘夫人，兩人的口音全然不同。」,段譽醒來，從隔壁屋中女子與老婦的對話，得知原來近日的遭遇，都是這名女子為了假的父親段正淳所設的圈套，而這名女子，顯然也是父親的舊相好。
忽聽得一個男子的聲音叫道：「舅媽，甥兒叩見。」,此事十分不妥，內心深處，突然間感到了極大的恐懼，但又不敢清清楚楚地去想這件最可怕之事，只是說不出的煩躁惶恐。,段譽聽到慕容復稱呼這名女子為舅媽，立即知道她就是蘇州曼陀夫人，也就是王語嫣的母親、自己未來的岳母。他隨即又想起：這個女子昔日「大乖人情」的行徑，應該與父親的背叛有關，因此想明白了很多以前不解的事情，也暗暗擔心王語嫣可能也是父親的私生女……
只聽得夫人道：「是複官啊，好得很啊，你快做大燕國皇帝了，這就要登基了吧？」,夫人是慕容家至親長輩，說來也是他的主人，真的發起脾氣來，他倒也不敢抹了這上下之分。,夫人向慕容復問起王語嫣下落，慕容復將王語嫣與段譽拜天地結成夫妻的事說了。夫人怒喝萬萬不可。慕容復的心腹包不同插嘴，說段譽與王語嫣是天生一對，夫人便揚言要殺了她的女兒包不靚，包不同遂立刻閉嘴。
夫人聽包不同住了口，怒氣稍降，問慕容複：「複官，你來找我，又安了什麼心眼兒啦？,慕容複道：「甥兒卻知道此人的所在，舅媽如信得過我，將那圈套的詳情跟甥兒說說，說不定我有點兒計較。」,慕容復告訴夫人他知道段正淳的下落，要夫人將圈套詳情說給他聽。
夫人道：「咱們說什麼總是一家人，有什麼信不過的？這一次我所使的，是個‘醉人蜂’之計。,要將我斬成十七八塊，倘若擒住的是我爹爹，反會千依百順地侍候他。我父子二人的遭際，可大大不同了。,夫人便將圈套交代明白了，原來沿途款段譽一行人的飯菜中，都摻入了無色無臭，略帶微苦的藥物；他們再從木屋的油燈、木柱中接處另一種藥物，其後再被餵過麻藥的「醉人蜂」叮螫，眾人便被麻倒。
只聽得夫人恨恨連聲，說道：「我要你裝成個聾啞老婦，主持大局，你又不是不認得那人，到頭來居然鬧出這大笑話來。」,段譽心道：「這老婆婆騙去我們的火刀火石，用草席包住柱子，原來倒是為了我們好，真正料想不到。」,夫人責怪佯裝聾啞的老婦辦事不力綁錯人，老婦則解釋早已防著他們碰觸油燈與木柱，但他們最終仍是自討苦吃。
慕容複道：「舅媽，這些醉人蜂刺過人後，便不能再用了麼？」,不由得眉花眼笑，心魂皆酥，甜膩膩地道：「對，不錯！咱們便是這個主意。」,慕容復聽了，便建議夫人以段譽身上的信物，引誘段正淳前來相救，再利用剩下的醉人蜂迷倒他。夫人聽得眉開眼笑，欣然同意。
慕容複道：「舅媽，你外甥出的這個主意還不錯吧？」,夫人驚道：「他……他……他落入了段延慶之手，定然凶多吉少。說不定……說不定這時候已經將他……將他處死了。」,慕容復隨後又將段正淳被段延慶所擒的消息告訴夫人，她為此擔心不已。
慕容複道：「舅媽不須過慮，這其中有個重大關節，你還沒想到。」,段譽只想：「今番當真是凶多吉少了。語嫣又不知道到了何處？否則夫人瞧在女兒面上，說不定能饒我一命。」,慕容復夫人分析，段延慶不會立即殺死段正淳，而事先設法讓鎮南王登上王位，再逼他立自己為皇儲。慕如復提醒夫人要處置掉段譽。
夫人道：「既然他眼下沒性命之憂，我就放心了。我可不許他去做什麼大理國的勞什子皇帝。我要他隨我去曼陀山莊。」,真不知你這小子心中到底打的是什麼主意？好吧！咱們怎生去擒段延慶，怎生救人，你的主意怎樣？」,夫人問慕容復要什麼酬謝，慕容復說只要她打賞萬兩黃金，或者琅嬛玉洞中的武學秘典即可。
慕容複道：「第一步，是要段延慶帶了鎮南王到草海木屋中去，是不是？」,夫人哈哈大笑，說道：「你這小子油嘴滑舌，便會討舅媽的歡喜。」,其後，慕容復建議以段譽為誘餌，引段延慶帶鎮南王到草海木屋中。
慕容複笑道：「甥兒索性快馬加鞭，早一日辦成此事，好讓舅媽早一日歡喜。,天下便有這等不知好歹的糊塗蟲，有福不會享，不愛月裡嫦娥，卻去愛在爛泥裡打滾的老母豬……」,夫人隨即擔心起段延慶會對段正淳用刑。慕容復又動用她的油嘴滑舌，討她歡心，並指責段正淳竟選擇別的女人。
夫人怒道：「你說他……他……這沒良心的，又和旁的女子混在一起啦？是誰？是誰？」,慕容複道：「這第四個卻不是賤女人，她是鎮南王的元配正室，鎮南王妃。」,夫人大怒逼問段正淳身邊的四名女子是誰？竟是秦紅棉、阮星竹、甘寶寶與鎮南王妃刀白鳳。
段譽心道：「怎麼媽媽也來了？」夫人「啊」的一聲，顯然大出意料之外。,這「慶」字剛說出口，突然遠處有個極尖銳、極難聽的聲音傳了出來：「我早就來啦，引我倒也不必，醉人蜂和迷藥卻須好好佈置才是。」,段譽與夫人對於鎮南王妃也來了，都感到意料之外，慕容復一語道破鎮南王的花心與鎮南王妃的不放心。就在他們要著手再佈置圈套時，段延慶人未到聲先到。
